drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Srbija,8,Mirković,Podajalka,30,07/10/1995,185cm,32,2.67,17,60.71%,1.42,6,8.70%,0.50,9,4.81%,0.75
Srbija,10,Ognjenović,Podajalka,42,06/08/1984,183cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Srbija,11,Kurtagić,Srednja blokerka,21,27/08/2004,195cm,99,8.25,60,50.00%,5.00,34,23.94%,2.83,5,3.94%,0.42
Srbija,13,Zubić,Sprejemalka,21,21/08/2004,186cm,145,12.08,126,40.78%,10.50,15,15.96%,1.25,4,3.15%,0.33
Srbija,15,Uzelac,Sprejemalka,22,27/07/2004,188cm,94,9.40,80,43.24%,8.00,7,18.92%,0.70,7,7.95%,0.70
Srbija,16,Jegdić,Libero,31,09/10/1994,167cm,0,0.00,0,-,-,0,-,-,0,-,-
Srbija,18,Bošković,Korektorica,29,08/03/1997,193cm,1,0.50,1,100%,0.50,0,-,-,0,-,-
Srbija,24,Milojevic,Srednja blokerka,27,13/02/1999,193cm,0,-,0,-,-,0,-,-,0,-,-
Srbija,25,Čajić,Sprejemalka,24,28/08/2001,181cm,109,10.90,95,39.42%,9.50,8,17.02%,0.80,6,6.90%,0.60
Srbija,27,Bukilić,Korektorica,27,13/06/1999,191cm,9,0.75,6,28.57%,0.50,3,21.43%,0.25,0,0.00%,0.00
Srbija,32,Gocanin,Libero,23,25/09/2002,179cm,0,0.00,0,-,-,0,-,-,0,-,-
Srbija,34,Tica,Sprejemalka,22,23/08/2003,179cm,107,8.92,90,32.85%,7.50,13,24.53%,1.08,4,3.01%,0.33
Srbija,28,Miljevic,Podajalka,28,09/07/1998,177cm,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
Srbija,30,Antonović,Sprejemalka,17,16/04/2009,185cm,5,0.83,5,22.73%,0.83,0,0.00%,0.00,0,0.00%,0.00
