drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Japonska,13,Ogawa,Libero,30,04/07/1996,176cm,0,0.00,0,-,-,0,-,-,0,-,-
Japonska,14,Ishikawa,Sprejemalec,30,11/12/1995,191cm,154,14.00,142,53.58%,12.91,4,9.76%,0.36,8,5.71%,0.73
Japonska,15,Kai,Sprejemalec,22,25/09/2003,200cm,22,2.00,19,63.33%,1.73,1,16.67%,0.09,2,3.70%,0.18
Japonska,17,Nishimoto,Srednji bloker,27,27/10/1998,188cm,17,1.89,11,50.00%,1.22,5,20.83%,0.56,1,2.78%,0.11
Japonska,20,Yamamoto,Libero,31,05/11/1994,171cm,0,0.00,0,-,-,0,-,-,0,-,-
Japonska,21,Eiro,Podajalec,30,08/06/1996,192cm,2,0.17,1,50.00%,0.08,0,0.00%,0.00,1,3.45%,0.08
Japonska,23,Larry,Srednji bloker,25,18/08/2000,195cm,67,6.09,48,56.47%,4.36,16,20.00%,1.45,3,3.61%,0.27
Japonska,6,Yamauchi,Srednji bloker,32,30/11/1993,204cm,37,3.70,28,60.87%,2.80,9,20.45%,0.90,0,0.00%,0.00
Poljska,3,Popiwczak,Libero,30,17/04/1996,180cm,0,0.00,0,-,-,0,-,-,0,-,-
Poljska,4,Komenda,Podajalec,30,24/05/1996,198cm,12,1.50,0,0.00%,0.00,10,26.32%,1.25,2,1.82%,0.25
Poljska,7,Lemański,Srednji bloker,30,19/03/1996,217cm,101,8.42,60,61.86%,5.00,28,30.11%,2.33,13,9.85%,1.08
Poljska,9,Leon,Sprejemalec,32,31/07/1993,201cm,82,13.67,65,57.52%,10.83,8,40.00%,1.33,9,11.25%,1.50
Poljska,11,Śliwka,Sprejemalec,31,24/05/1995,196cm,71,5.92,63,43.15%,5.25,6,16.67%,0.50,2,2.63%,0.17
Poljska,12,Szalpuk,Sprejemalec,31,20/03/1995,201cm,49,6.12,38,43.68%,4.75,5,18.52%,0.62,6,8.45%,0.75
Poljska,16,Semeniuk,Sprejemalec,30,16/07/1996,195cm,30,7.50,26,50.00%,6.50,3,37.50%,0.75,1,3.33%,0.25
Poljska,18,Granieczny,Libero,21,07/07/2005,179cm,0,0.00,0,-,-,0,-,-,0,-,-
Poljska,21,Fornal,Sprejemalec,28,31/08/1997,200cm,32,8.00,24,57.14%,6.00,4,21.05%,1.00,4,10.53%,1.00
Poljska,30,Bołądź,Korektor,31,28/09/1994,204cm,135,16.88,114,56.72%,14.25,13,22.81%,1.62,8,7.69%,1.00
Poljska,34,Jakubiszak,Srednji bloker,28,13/02/1998,210cm,70,5.83,55,64.71%,4.58,14,17.72%,1.17,1,0.87%,0.08
Poljska,35,Sasak,Korektor,29,20/02/1997,208cm,9,1.50,8,42.11%,1.33,0,0.00%,0.00,1,8.33%,0.17
Poljska,73,Nowak J.,Srednji bloker,21,11/06/2005,205cm,36,4.50,21,56.76%,2.62,9,23.08%,1.12,6,8.82%,0.75
Poljska,96,Firlej,Podajalec,29,26/09/1996,188cm,7,0.88,2,40.00%,0.25,2,7.69%,0.25,3,3.41%,0.38
Poljska,17,Majchrzak,Srednji bloker,22,13/05/2004,207cm,16,4.00,8,66.67%,2.00,6,37.50%,1.50,2,8.00%,0.50
Slovenija,2,Pajenk,Srednji bloker,40,23/04/1986,203cm,53,4.08,42,66.67%,3.23,8,11.59%,0.62,3,2.83%,0.23
Slovenija,3,Planinšič,Podajalec,28,09/05/1998,185cm,22,1.69,0,0.00%,0.00,12,15.00%,0.92,10,5.08%,0.77
Slovenija,4,Kozamernik,Srednji bloker,30,24/12/1995,204cm,75,5.77,45,51.72%,3.46,26,20.97%,2.00,4,2.14%,0.31
Slovenija,7,Marovt,Sprejemalec,21,13/01/2005,195cm,8,0.80,6,46.15%,0.60,0,0.00%,0.00,2,13.33%,0.20
